,sport,school,coach
481,baseball,Legacy Christian Academy,Adam Hill
482,baseball,Lester Prairie/Holy Trinity,Ben Machemehl
483,baseball,Lewiston-Altura,Jerry Stensgard
484,baseball,Littlefork-Big Falls,Doug Henrickson
485,baseball,Mabel-Canton,Karl Urbaniak
486,baseball,MACCRAY,Ted Perry
487,baseball,Maranatha Christian Academy,Aaron Headrick
488,baseball,Mayer Lutheran,Dave Lane
489,baseball,Medford,Jon Chappuis
490,baseball,Menahga,Nicholas Jasmer
491,baseball,Mesabi East,Chad Sahr
492,baseball,Minnesota Valley Lutheran,Jeff Schoenherr
493,baseball,Mounds Park Academy,Kevin Hagen
494,baseball,Mountain Iron-Buhl,Robert Hanson
495,baseball,Murray County Central,Tarry Boelter
496,baseball,Nevis,Bill Dent
497,baseball,New Life Academy,Dave Darr
498,baseball,New Ulm Cathedral,Bob Weier
499,baseball,New York Mills,Chris Bushinger
500,baseball,Nicollet,Cory Johnson
501,baseball,Norman County East/Ulen-Hitterdal,Natty Messick
502,baseball,North Woods,Daniel Manick
503,baseball,Northeast Range,Tom Coombe
504,baseball,Northland,Ben Kinser
505,baseball,Ogilvie,Michael Bitz
506,baseball,Onamia,Marcus Artner
507,baseball,Ortonville,Jon Fellows
508,baseball,PACT Charter,Joshua Coleman
509,baseball,Pine River-Backus,Michael Dinnel
510,baseball,Randolph,Chris Stanton
511,baseball,Red Lake,Jason Niemi
512,baseball,Red Lake County Central/Red Lake Falls,Chris Nelson
513,baseball,Renville County West,Randy Schaub
514,baseball,Rushford-Peterson,Dan Mlsna
515,baseball,Sacred Heart,Paul Bethke
516,baseball,Sebeka,Jeff Lake
517,baseball,Sleepy Eye,Bruce Belseth
518,baseball,Springfield,Brady Schwab
519,baseball,St. Agnes,Mike Streitz
520,baseball,St. Mary's,Bruce Woitas
521,baseball,Tracy-Milroy-Balaton,Bill Tauer
522,baseball,United Christian Academy,Brent Anderson
523,baseball,Upsala/Swanville,Ken Solarz
524,baseball,Wabasso,Chad Olson
525,baseball,Walker-Hackensack-Akeley,Jim Lien
526,baseball,West Central Area,Terry Ohlgren
527,baseball,West Lutheran,Jeff Huth
528,baseball,Wheaton/Herman-Norcross,Tony Thiel
529,baseball,Windom,Brad Schlomann
530,baseball,Academy of Holy Angels,Eric Overman
531,baseball,Aitkin,Jeremy Janzen
532,baseball,Albany,Alan Amdahl
533,baseball,Albert Lea,Joe Sczublewski
534,baseball,Annandale,kevin greene
535,baseball,Battle Lake/Henning/Underwood,Steve Bradsteen
536,baseball,Belle Plaine,David Kreft
537,baseball,Benson,Don Brehmer
538,baseball,Blake,George Blackwell
539,baseball,Blue Earth,Todd Schmidtke
540,baseball,Breck,Brian Wright
541,baseball,Brooklyn Center,Ross Ihry
542,baseball,Cannon Falls,Bucky Lindow
543,baseball,Cloquet,Rick Stowell
544,baseball,Como Park,Matthew Smith
545,baseball,Concordia Academy,Eric Schutte
546,baseball,Cotter,Matt O'Brien
547,baseball,Crookston/Fisher/Warren-Alvarado-Oslo,Brian Follette
548,baseball,Crosby-Ironton,Jeremiah Piepkorn
549,baseball,Dassel-Cokato,Cole Flick
550,baseball,Delano,Dan Paulson
551,baseball,DeLaSalle,Douglas Schildgen
552,baseball,Detroit Lakes,Steve Fuhs
553,baseball,Dilworth-Glyndon-Felton,Bill Ibach
554,baseball,Dover-Eyota,Jim Dusso
555,baseball,Edison,Bernie Kunza
556,baseball,Esko,Ben Haugen
557,baseball,Eveleth-Gilbert,Jamie Lindseth
558,baseball,Fairmont,Todd Sukalski
559,baseball,Faribault Academies [Bethlehem Academy/Cannon Valley Lutheran/Discovery/Shattuck-Saint Mary's],Scott Hanson
560,baseball,Foley,Mike Beier
561,baseball,Fridley,Dan Nalepka
562,baseball,Gibbon-Fairfax-Winthrop,Jeff Seehafer
563,baseball,Glencoe-Silver Lake,Dean Schwirtz
564,baseball,Goodridge/Thief River Falls,Mike Gullingsrud
565,baseball,Grand Meadow/Kingsland/LeRoy-Ostrander,Taran Jack
566,baseball,Greenway,Dan Persons
567,baseball,Harding,Michael Zamacona
568,baseball,Hawley,Beau Lofgren
569,baseball,Hermantown,Mike Zagelmeyer
570,baseball,Hibbing,Jay Wetzel
571,baseball,Holy Family Catholic,Bryan DeLorenzo
572,baseball,Howard Lake-Waverly-Winsted,Cullen Schultz
573,baseball,International Falls,Phil Talmage
574,baseball,Johnson,Greg Pogreba
575,baseball,Jordan,Brent Goracke
576,baseball,Kasson-Mantorville,Broc Threinen
577,baseball,La Crescent,Rick Boyer
578,baseball,Lake City,Isaac Corey
579,baseball,Le Sueur-Henderson,Rick Bruns
580,baseball,Litchfield,Jeff Wollin
581,baseball,Little Falls,John Hanowski
582,baseball,Long Prairie-Grey Eagle,Paul Urman
583,baseball,Lourdes,Herold Dan
584,baseball,Maple Lake,Brooks Marquardt
585,baseball,Maple River,Randy Olson
586,baseball,"Marshall (Duluth, MN)",David Barningham
587,baseball,Milaca,Craig Talberg
588,baseball,Minnehaha Academy,Scott Glenn
589,baseball,Minnewaska Area,Brian Gruber
590,baseball,Morris Area/Chokio-Alberta,Kirby Sayles
591,baseball,Mound-Westonka,Bob Kuehl
592,baseball,New London-Spicer,Michael Thompson
593,baseball,New Richland-Hartland-Ellendale-Geneva,Jeff Reese
594,baseball,New Ulm,Backer Jay
595,baseball,Norwood-Young America,Jon Wroge
596,baseball,Nova Classical Academy,Ed Perrault
597,baseball,Osakis,Shad Schmidt
598,baseball,Park Rapids,Dan Etter
599,baseball,Patrick Henry,Kelly Wilson
600,baseball,Pelican Rapids,Adam Johnson
601,baseball,Pequot Lakes,coach Jon
602,baseball,Perham,Hans Hanson
603,baseball,Pierz,Da Roche
604,baseball,Pine City,Ted Hasz
605,baseball,Pine Island,Craig Anderson
606,baseball,Pipestone,Rick Zollner
607,baseball,Plainview-Elgin-Millville,Scott Flattum
608,baseball,Proctor,Kyle Wojtysiak
609,baseball,Red Rock Central/Westbrook-Walnut Grove,Derrick Jenniges
610,baseball,Redwood Valley,Josh Junker
611,baseball,Roseau,Tracey Wensloff
612,baseball,Rush City,Robert Schlagel
613,baseball,Sibley East,Dan Tackmann
614,baseball,St. Charles,Scott Mccready
615,baseball,St. Cloud Cathedral,Bob Karn
616,baseball,St. Croix Lutheran,jack piepgras
617,baseball,St. Croix Prep,Jake Pierson
618,baseball,St. James,Mark Beltz
619,baseball,St. Paul Academy-Summit,Mike Brown
620,baseball,St. Paul Central,Adam Hunkins
621,baseball,St. Peter,Kurt Moelter
622,baseball,Staples-Motley,greg kossan
623,baseball,Stewartville,Dan Simmons
624,baseball,Tri-City United [Montgomery-Lonsdale/Le Center],Bruce Davis
625,baseball,Triton,Michael Ellingson
626,baseball,Two Harbors,Jeff Adams
627,baseball,Virginia,Cory Santelli
628,baseball,Warroad,Scott Knutson
629,baseball,Waseca,Kevin Nunn
630,baseball,Washington Tech,Greg Eiden
631,baseball,Watertown-Mayer,Justin Stohs
632,baseball,Waterville-Elysian-Morristown,Sam Stier
633,baseball,Worthington,Stacy Sauerbrei
634,baseball,Zimmerman,Chris Riley
635,baseball,Alexandria,Jacob Munsch
636,baseball,Apollo,Mike Gregory
637,baseball,Austin,Chris Gogolewski
638,baseball,Bemidji,Mike Fogelson
639,baseball,Benilde-St. Margaret's,Greg Hoemke
640,baseball,Big Lake,Mike Morehead
641,baseball,Chisago Lakes Area,Jay Brown
642,baseball,Denfeld,Calan Fougner
643,baseball,Faribault,Brent Hawkins
