,sport,school,coach
510,football,Lincoln County,Kevin Rose
511,football,Morristown-Hamblen East,Rob Croxdale
512,football,Munford,Nick Markle
513,football,Northwest,8597078001 Furnish
514,football,Oak Ridge,Joe Gaddis
515,football,Overton,Edgar Williams
516,football,Page,Charles Rathbone
517,football,Powell,Rodney Ellison
518,football,Rhea County,Anthony Loden
519,football,Ridgeway,Duron Sutton
520,football,Sevier County,Tony Ligenfelter
521,football,Shelbyville Central,Justin Palmer
522,football,Soddy Daisy,Justin Barnes
523,football,Tennessee,Mike Mays
524,football,West,Lamar Brown
525,football,Antioch,Mike Head
526,football,Arlington,Adam Sykes
527,football,Bartlett,Jonathan Croft
528,football,Bearden,Bernard Moss
529,football,Blackman,Kit Hartsfield
530,football,Bradley Central,Damon Floyd
531,football,Cane Ridge,Eddie Woods
532,football,Centennial,Matt Kriesky
533,football,Cleveland,Bradley Benefield
534,football,Cookeville,Jimmy Maynord
535,football,Cordova,Marcus Wimberly
536,football,Dickson County,Randy Murphree
537,football,Dobyns-Bennett,Graham Clark
538,football,Farragut,Eddie Courtney
539,football,Franklin,Donnie Webb
540,football,Hardin Valley Academy,Eliot Dunlap
541,football,Hendersonville,Bruce Hatfield
542,football,Heritage,James Davis
543,football,Houston,James Thomas
544,football,Independence,Brad Dashiell
545,football,LaVergne,Stanton Stevens
546,football,Lebanon,Chuck Gentry
547,football,Maryville,Derek Hunt
548,football,McMinn County,Bo Cagle
549,football,Memphis Central,Lynord Crutchfield
550,football,Mount Juliet,Coach Grah
551,football,Oakland,Kevin Creasy
552,football,Ooltewah,Chris Brown
553,football,Ravenwood,Michael Newman
554,football,Riverdale,Will Kriesky
555,football,Rossview,Michael Hood
556,football,Science Hill,Logan Jones
557,football,Siegel,Greg Wyant
558,football,Smyrna,Matt Williams
559,football,Station Camp,Shaun Hollinsworth
560,football,Stewarts Creek,David Martin
561,football,Warren County,Matt Turner
562,football,Whitehaven,Rodney Saulsberry
563,football,William Blount,Philip Shadowens
564,football,Abbott,Terry Crawford
565,football,Aquilla,Kirk Hinkson
566,football,Aspermont,julian menchaca
567,football,Avalon,Malcolm Cole
568,football,Blum,John McFarlin
569,football,Borden County,Trey Richey
570,football,Bronte,Brent Rider
571,football,Bryson,Jason Briles
572,football,Covington,Charles Steele
573,football,Eden,Clayton Garmon
574,football,Evant,Nathan Kuehler
575,football,Fruitvale,Casey Chase
576,football,Garden City,Jeff Jones
577,football,Gholson,Jeff Shavers
578,football,Gorman,Jeb Dixon
579,football,Grady,Brent Lucas
580,football,Happy,Jimmy Moore
581,football,Hermleigh,derek ahearn
582,football,Highland,Kyle Jeffrey
583,football,Ira,Toby Goodwin
584,football,Jonesboro,Eddie Gallegos
585,football,Knox City,Caleb Callaway
586,football,Leakey,Josh Stacey
587,football,Leverett's Chapel,Matt Everett
588,football,Lingleville,James Boyle
589,football,Lometa,DT Torres
590,football,Lorenzo,Sol DeLeon
591,football,May,Craig Steele
592,football,McLean,Clint Linman
593,football,Milford,Ronny Crumpton
594,football,Nazareth,Steven Moore
595,football,Newcastle,Ty Spitzer
596,football,Northside,Jeremy Reeder
597,football,O'Donnell,Joel Natividad
598,football,Paducah,David Donnell
599,football,Penelope,Corey McAdams
600,football,Perrin-Whitt,Ben Staggs
601,football,Petersburg,Armando Solis
602,football,Rankin,Danny Davis
603,football,Rotan,Gary Beam
604,football,Savoy,Chad Tallon
605,football,Spur,Tate Clark
606,football,Sterling City,Trey Sisco
607,football,Valley,Brandon Smith
608,football,Veribest,Casey Mund
609,football,Water Valley,John York
610,football,Wellman-Union,Joseph Hood
611,football,White Deer,Jeff Quisenberry
612,football,Whiteface,Adam Cline
613,football,Amherst,Daniel Hinojosa
614,football,Anton,Pat Potts
615,football,Apple Springs,Cody Moree
616,football,Brookesmith,jeremy black
617,football,Calvert,Ja'Marcus Ashley
618,football,Cherokee,Victor Wisdom
619,football,Chester,Gary Beam
620,football,Cotton Center,Darin Barrow
621,football,Dell City,Jose Holguin
622,football,Fannindel,Erik Pevey
623,football,Follett,Andy Copley
624,football,Gordon,Mike Reed
625,football,Grandfalls-Royalty,Joe Helms
626,football,Groom,Tony Dodson
627,football,Guthrie,Danny Sloan
628,football,Harrold,Craig Templeton
629,football,Hedley,Cody Lancaster
630,football,Iredell,Luis Guereca
631,football,Jayton,Josh Stanaland
632,football,Lazbuddie,Steven Larkin
633,football,Lefors,Joe Riley
634,football,Loop,sean lewis
635,football,Morgan,Edward Aviles
636,football,Mount Calm,Kirk Hinkson
637,football,Mullin,Randy Sims
638,football,Oakwood,Tommy Tritz
639,football,Oglesby,Ryan Kyle
640,football,Panther Creek,John Wood
641,football,Patton Springs,Bryan White
642,football,Richland Springs,Jerry Burkhart
643,football,Rising Star,Caleb Callaway
644,football,Sierra Blanca,Brent Henderson
645,football,Silverton,Ryan Dykes
646,football,Strawn,Dewaine Lee
647,football,Throckmorton,Aaron Ashford
648,football,Trent,Derek Schlieve
649,football,Walnut Springs,Tim Trotter
650,football,Wilson,Rhudy Maskew
651,football,Alvord,Pete Hart
652,football,Big Sandy,Larry Minter
653,football,Bosqueville,Clint Zander
654,football,Bruceville-Eddy,JB Chaney
655,football,Carlisle,Clay Baker
656,football,Cayuga,Cody Mohan
657,football,Celeste,dee rector
658,football,Center Point,Guy Walters
659,football,Centerville,Kyle Hardee
660,football,Crawford,Delbert Kelm
661,football,Floydada,Scotty Bruington
662,football,Forsan,Jason Phillips
663,football,Garrison,Alex Cloudy
